batimentid,salleid,floorid,positionid,ssid,bssid,level,centrefrequence0,frequency
1,444,0,1,UnivToulon,1c:28:af:b3:b8:71,-55,5580,5580
1,444,0,1,eduroam,1c:28:af:b3:b8:70,-55,5580,5580
1,444,0,1,visiteurs,1c:28:af:b3:b8:72,-55,5580,5580
1,444,0,1,,1c:28:af:b3:b8:73,-55,5580,5580
1,444,0,1,,1c:28:af:b3:b8:74,-55,5580,5580
1,444,0,1,,1c:28:af:ce:1b:d4,-57,5220,5220
1,444,0,1,eduroam,1c:28:af:ce:1b:d0,-58,5220,5220
1,444,0,1,UnivToulon,1c:28:af:ce:1b:d1,-59,5220,5220
1,444,0,1,visiteurs,1c:28:af:ce:1b:d2,-59,5220,5220
1,444,0,1,eduroam,1c:28:af:b2:c8:50,-59,5280,5280
1,444,0,1,UnivToulon,1c:28:af:b2:c8:51,-60,5280,5280
1,444,0,1,visiteurs,1c:28:af:b2:c8:52,-60,5280,5280
1,444,0,1,eduroam,1c:28:af:ce:1b:c0,-60,2412,2412
1,444,0,1,UnivToulon,1c:28:af:ce:1b:c1,-60,2412,2412
1,444,0,1,visiteurs,1c:28:af:ce:1b:c2,-60,2412,2412
1,444,0,1,,1c:28:af:b2:c8:53,-60,5280,5280
1,444,0,1,,1c:28:af:b2:c8:54,-60,5280,5280
1,444,0,1,UnivToulon,1c:28:af:ce:e7:01,-61,2437,2437
1,444,0,1,visiteurs,1c:28:af:ce:e7:02,-62,2437,2437
1,444,0,1,eduroam,1c:28:af:ce:e7:00,-63,2437,2437
1,444,0,1,,1c:28:af:ce:e7:04,-64,2437,2437
1,444,0,1,eduroam,1c:28:af:b2:c8:40,-64,2462,2462
1,444,0,1,eduroam,1c:28:af:ce:e7:10,-65,5500,5500
1,444,0,1,UnivToulon,1c:28:af:ce:e7:11,-65,5500,5500
1,444,0,1,UnivToulon,1c:28:af:b2:c8:41,-65,2462,2462
1,444,0,1,,1c:28:af:ce:e7:03,-65,2437,2437
1,444,0,1,visiteurs,1c:28:af:ce:e7:12,-66,5500,5500
1,444,0,1,visiteurs,1c:28:af:b2:c8:42,-67,2462,2462
1,444,0,1,eduroam,1c:28:af:cd:23:30,-68,5745,5745
1,444,0,1,UnivToulon,1c:28:af:cd:23:31,-68,5745,5745
1,444,0,1,visiteurs,1c:28:af:cd:23:32,-68,5745,5745
1,444,0,1,UnivToulon,1c:28:af:cd:9f:71,-69,5260,5260
1,444,0,1,eduroam,1c:28:af:cd:9f:70,-70,5260,5260
1,444,0,1,visiteurs,1c:28:af:cd:9f:72,-71,5260,5260
1,444,0,1,eduroam,1c:28:af:cd:23:20,-71,2412,2412
1,444,0,1,visiteurs,1c:28:af:b3:b8:62,-71,2462,2462
1,444,0,1,visiteurs,1c:28:af:cd:23:22,-72,2412,2412
1,444,0,1,eduroam,1c:28:af:b3:b8:60,-72,2462,2462
1,444,0,1,eduroam,1c:28:af:b4:1c:e0,-74,2462,2462
1,444,0,1,,1c:28:af:cd:23:33,-74,5745,5745
1,444,0,1,,1c:28:af:cd:23:34,-74,5745,5745
1,444,0,1,UnivToulon,1c:28:af:cd:9f:61,-78,2412,2412
1,444,0,1,visiteurs,1c:28:af:b4:1c:e2,-80,2462,2462
1,444,0,1,visiteurs,1c:28:af:cd:9f:62,-80,2412,2412
1,444,0,1,,1c:28:af:cd:9f:63,-80,2412,2412
1,444,0,1,,1c:28:af:cd:9f:64,-81,2412,2412
1,444,0,1,visiteurs,1c:28:af:b4:32:22,-84,2412,2412
1,444,0,1,eduroam,1c:28:af:b4:32:30,-85,5180,5180
1,444,0,1,UnivToulon,1c:28:af:b4:32:31,-86,5180,5180
1,444,0,1,visiteurs,1c:28:af:b4:32:32,-86,5180,5180
1,444,0,2,visiteurs,1c:28:af:b2:c8:52,-49,5280,5280
1,444,0,2,eduroam,1c:28:af:b2:c8:50,-50,5280,5280
1,444,0,2,UnivToulon,1c:28:af:b2:c8:51,-50,5280,5280
1,444,0,2,,1c:28:af:b2:c8:43,-51,2462,2462
1,444,0,2,,1c:28:af:b2:c8:44,-51,2462,2462
1,444,0,2,eduroam,1c:28:af:b2:c8:40,-51,2462,2462
1,444,0,2,UnivToulon,1c:28:af:b2:c8:41,-52,2462,2462
1,444,0,2,visiteurs,1c:28:af:b2:c8:42,-52,2462,2462
1,444,0,2,visiteurs,1c:28:af:ce:e7:02,-63,2437,2437
1,444,0,2,UnivToulon,1c:28:af:ce:e7:01,-64,2437,2437
1,444,0,2,eduroam,1c:28:af:ce:e7:00,-64,2437,2437
1,444,0,2,,1c:28:af:ce:e7:04,-65,2437,2437
1,444,0,2,,1c:28:af:ce:e7:03,-65,2437,2437
1,444,0,2,,bc:9f:e4:8b:52:a2,-66,2412,2412
1,444,0,2,UnivToulon,bc:9f:e4:8b:52:a4,-68,2412,2412
1,444,0,2,eduroam,1c:28:af:ce:e7:10,-69,5500,5500
1,444,0,2,visiteurs,bc:9f:e4:8b:52:a3,-69,2412,2412
1,444,0,2,,bc:9f:e4:8b:52:a5,-70,2412,2412
1,444,0,2,UnivToulon,1c:28:af:ce:e7:11,-70,5500,5500
1,444,0,2,visiteurs,1c:28:af:ce:e7:12,-70,5500,5500
1,444,0,2,eduroam,bc:9f:e4:8b:52:a0,-71,2412,2412
1,444,0,2,UnivToulon,1c:28:af:b2:9c:c1,-72,2412,2412
1,444,0,2,eduroam,1c:28:af:ce:1b:d0,-73,5220,5220
1,444,0,2,UnivToulon,1c:28:af:ce:1b:d1,-73,5220,5220
1,444,0,2,visiteurs,1c:28:af:ce:1b:d2,-73,5220,5220
1,444,0,2,eduroam,1c:28:af:ce:1b:c0,-73,2412,2412
1,444,0,2,,1c:28:af:b2:9c:c3,-76,2412,2412
1,444,0,2,UnivToulon,1c:28:af:cd:23:31,-77,5745,5745
1,444,0,2,visiteurs,1c:28:af:b2:9c:c2,-77,2412,2412
1,444,0,2,eduroam,1c:28:af:b3:b8:70,-77,5580,5580
1,444,0,2,UnivToulon,1c:28:af:b3:b8:71,-77,5580,5580
1,444,0,2,visiteurs,1c:28:af:b3:b8:72,-77,5580,5580
1,444,0,2,visiteurs,1c:28:af:cd:23:32,-78,5745,5745
1,444,0,2,,1c:28:af:b3:b8:73,-78,5580,5580
1,444,0,2,,1c:28:af:b3:b8:74,-78,5580,5580
1,444,0,2,eduroam,1c:28:af:cd:23:30,-79,5745,5745
1,444,0,2,eduroam,1c:28:af:b3:b8:60,-80,2462,2462
1,444,0,2,UnivToulon,1c:28:af:b3:b8:61,-80,2462,2462
1,444,0,2,eduroam,1c:28:af:b2:9c:d0,-81,5320,5320
1,444,0,2,UnivToulon,1c:28:af:b2:9c:d1,-81,5320,5320
1,444,0,2,visiteurs,1c:28:af:b2:9c:d2,-81,5320,5320
1,444,0,2,eduroam,1c:28:af:cd:9f:70,-84,5260,5260
1,444,0,2,UnivToulon,1c:28:af:cd:9f:71,-84,5260,5260
1,444,0,2,visiteurs,1c:28:af:cd:9f:72,-85,5260,5260
1,444,0,2,,1c:28:af:cd:9f:64,-87,2412,2412
1,444,0,2,eduroam,1c:28:af:b4:32:30,-89,5180,5180
1,444,0,2,visiteurs,1c:28:af:b4:30:42,-89,2462,2462
1,444,0,2,,1c:28:af:b4:30:43,-90,2462,2462
1,444,0,2,,1c:28:af:b4:30:44,-90,2462,2462
1,444,0,2,eduroam,1c:28:af:b4:30:40,-90,2462,2462
1,444,0,3,UnivToulon,1c:28:af:b2:c8:41,-61,2462,2462
1,444,0,3,visiteurs,1c:28:af:b2:c8:52,-62,5280,5280
1,444,0,3,,1c:28:af:b2:c8:44,-62,2462,2462
1,444,0,3,visiteurs,1c:28:af:b2:c8:42,-62,2462,2462
1,444,0,3,eduroam,1c:28:af:b2:c8:50,-63,5280,5280
1,444,0,3,UnivToulon,1c:28:af:b2:c8:51,-63,5280,5280
1,444,0,3,,1c:28:af:b2:c8:43,-63,2462,2462
1,444,0,3,eduroam,1c:28:af:b2:c8:40,-63,2462,2462
1,444,0,3,,1c:28:af:cd:23:24,-65,2412,2412
1,444,0,3,eduroam,1c:28:af:cd:23:20,-65,2412,2412
1,444,0,3,visiteurs,1c:28:af:cd:23:22,-65,2412,2412
1,444,0,3,UnivToulon,1c:28:af:cd:23:21,-66,2412,2412
1,444,0,3,visiteurs,1c:28:af:ce:e7:02,-68,2437,2437
1,444,0,3,UnivToulon,1c:28:af:ce:e7:01,-68,2437,2437
1,444,0,3,eduroam,1c:28:af:ce:e7:00,-68,2437,2437
1,444,0,3,,1c:28:af:b3:b8:73,-68,5580,5580
1,444,0,3,,1c:28:af:b3:b8:74,-68,5580,5580
1,444,0,3,eduroam,1c:28:af:b3:b8:70,-69,5580,5580
1,444,0,3,UnivToulon,1c:28:af:b3:b8:71,-69,5580,5580
1,444,0,3,visiteurs,1c:28:af:b3:b8:72,-69,5580,5580
1,444,0,3,eduroam,1c:28:af:ce:e7:10,-71,5500,5500
1,444,0,3,visiteurs,1c:28:af:ce:e7:12,-71,5500,5500
1,444,0,3,UnivToulon,1c:28:af:ce:e7:11,-72,5500,5500
1,444,0,3,eduroam,1c:28:af:ce:1b:d0,-74,5220,5220
1,444,0,3,UnivToulon,1c:28:af:ce:1b:d1,-74,5220,5220
1,444,0,3,visiteurs,1c:28:af:ce:1b:d2,-74,5220,5220
1,444,0,3,,1c:28:af:cd:23:33,-75,5745,5745
1,444,0,3,,1c:28:af:cd:23:34,-75,5745,5745
1,444,0,3,eduroam,1c:28:af:cd:23:30,-78,5745,5745
1,444,0,3,UnivToulon,1c:28:af:b3:b8:61,-78,2462,2462
1,444,0,3,UnivToulon,1c:28:af:cd:23:31,-79,5745,5745
1,444,0,3,visiteurs,1c:28:af:cd:23:32,-79,5745,5745
1,444,0,3,,1c:28:af:ce:1b:c4,-82,2412,2412
1,444,0,3,visiteurs,1c:28:af:ce:1b:c2,-82,2412,2412
1,444,0,3,eduroam,1c:28:af:ce:1b:c0,-83,2412,2412
1,444,0,3,eduroam,1c:28:af:cd:9f:70,-83,5260,5260
1,444,0,3,UnivToulon,1c:28:af:cd:9f:71,-84,5260,5260
1,444,0,3,visiteurs,1c:28:af:cd:9f:72,-84,5260,5260
1,444,0,3,,1c:28:af:b4:1c:e3,-86,2462,2462
1,444,0,3,UnivToulon,1c:28:af:b4:32:31,-88,5180,5180
1,444,0,3,eduroam,1c:28:af:b4:32:30,-89,5180,5180
1,444,0,3,visiteurs,1c:28:af:b2:9c:d2,-90,5320,5320
1,444,0,3,visiteurs,1c:28:af:b4:32:32,-90,5180,5180
1,444,0,4,UnivToulon,1c:28:af:b2:c8:41,-54,2462,2462
1,444,0,4,eduroam,1c:28:af:b2:c8:50,-55,5280,5280
1,444,0,4,visiteurs,1c:28:af:b2:c8:52,-55,5280,5280
1,444,0,4,UnivToulon,1c:28:af:b2:c8:51,-55,5280,5280
1,444,0,4,,1c:28:af:b2:c8:43,-55,2462,2462
1,444,0,4,,1c:28:af:b2:c8:44,-55,2462,2462
1,444,0,4,eduroam,1c:28:af:b2:c8:40,-55,2462,2462
1,444,0,4,visiteurs,1c:28:af:b2:c8:42,-55,2462,2462
1,444,0,4,,1c:28:af:b3:b8:73,-60,5580,5580
1,444,0,4,,1c:28:af:b3:b8:74,-60,5580,5580
1,444,0,4,eduroam,1c:28:af:b3:b8:70,-61,5580,5580
1,444,0,4,eduroam,1c:28:af:cd:23:30,-67,5745,5745
1,444,0,4,UnivToulon,1c:28:af:cd:23:31,-67,5745,5745
1,444,0,4,visiteurs,1c:28:af:cd:23:32,-67,5745,5745
1,444,0,4,,1c:28:af:cd:23:33,-69,5745,5745
1,444,0,4,,1c:28:af:cd:23:34,-69,5745,5745
1,444,0,4,eduroam,1c:28:af:ce:1b:d0,-70,5220,5220
1,444,0,4,UnivToulon,1c:28:af:ce:1b:d1,-70,5220,5220
1,444,0,4,visiteurs,1c:28:af:ce:1b:d2,-70,5220,5220
1,444,0,4,,1c:28:af:cd:23:24,-70,2412,2412
1,444,0,4,visiteurs,1c:28:af:cd:23:22,-71,2412,2412
1,444,0,4,UnivToulon,1c:28:af:cd:23:21,-71,2412,2412
1,444,0,4,,1c:28:af:cd:23:23,-71,2412,2412
1,444,0,4,eduroam,1c:28:af:cd:23:20,-72,2412,2412
1,444,0,4,eduroam,1c:28:af:ce:1b:c0,-73,2412,2412
1,444,0,4,visiteurs,1c:28:af:ce:1b:c2,-73,2412,2412
1,444,0,4,UnivToulon,1c:28:af:ce:1b:c1,-73,2412,2412
1,444,0,4,eduroam,1c:28:af:ce:e7:10,-74,5500,5500
1,444,0,4,UnivToulon,1c:28:af:ce:e7:11,-74,5500,5500
1,444,0,4,visiteurs,1c:28:af:ce:e7:12,-74,5500,5500
1,444,0,4,UnivToulon,1c:28:af:b3:b8:71,-74,5580,5580
1,444,0,4,,1c:28:af:ce:1b:c4,-74,2412,2412
1,444,0,4,,1c:28:af:ce:1b:c3,-74,2412,2412
1,444,0,4,eduroam,1c:28:af:cd:9f:70,-82,5260,5260
1,444,0,4,visiteurs,1c:28:af:cd:9f:72,-82,5260,5260
1,444,0,4,UnivToulon,1c:28:af:ce:e7:01,-83,2437,2437
1,444,0,4,UnivToulon,1c:28:af:cd:9f:71,-83,5260,5260
1,444,0,4,visiteurs,1c:28:af:b4:1c:e2,-83,2462,2462
1,444,0,4,visiteurs,1c:28:af:ce:e7:02,-84,2437,2437
1,444,0,4,eduroam,1c:28:af:ce:e7:00,-84,2437,2437
1,444,0,4,,1c:28:af:ce:e7:04,-84,2437,2437
1,444,0,4,UnivToulon,1c:28:af:b4:1c:e1,-84,2462,2462
1,444,0,4,,1c:28:af:b4:1c:e3,-85,2462,2462
1,444,0,4,,1c:28:af:b4:1c:e4,-85,2462,2462
1,444,0,4,,bc:9f:e4:8b:52:a2,-86,2412,2412
1,444,0,4,,1c:28:af:ce:e7:03,-86,2437,2437
1,444,0,4,eduroam,1c:28:af:b4:1c:e0,-86,2462,2462
1,444,0,4,visiteurs,1c:28:af:b3:b8:72,-88,5580,5580
1,444,0,4,visiteurs,1c:28:af:b2:9c:d2,-88,5320,5320
1,444,0,4,eduroam,1c:28:af:b4:32:20,-88,2412,2412
1,444,0,4,eduroam,1c:28:af:b2:9c:d0,-88,5320,5320
1,444,0,4,UnivToulon,1c:28:af:b2:9c:d1,-89,5320,5320
1,444,0,5,UnivToulon,1c:28:af:b2:c8:41,-54,2462,2462
1,444,0,5,eduroam,1c:28:af:b2:c8:50,-55,5280,5280
1,444,0,5,visiteurs,1c:28:af:b2:c8:52,-55,5280,5280
1,444,0,5,UnivToulon,1c:28:af:b2:c8:51,-55,5280,5280
1,444,0,5,,1c:28:af:b2:c8:43,-55,2462,2462
1,444,0,5,,1c:28:af:b2:c8:44,-55,2462,2462
1,444,0,5,eduroam,1c:28:af:b2:c8:40,-55,2462,2462
1,444,0,5,visiteurs,1c:28:af:b2:c8:42,-55,2462,2462
1,444,0,5,,1c:28:af:b3:b8:73,-60,5580,5580
1,444,0,5,,1c:28:af:b3:b8:74,-60,5580,5580
